 INFO  Accepting connections at http://localhost:8123
 HTTP  8/9/2026 9:31:58 pm ::1 GET /
 HTTP  8/9/2026 9:31:58 pm ::1 Returned 200 in 47 ms
 HTTP  8/9/2026 9:31:58 pm ::1 GET /blog/
 HTTP  8/9/2026 9:31:58 pm ::1 Returned 200 in 3 ms
 HTTP  8/9/2026 9:32:02 pm ::1 GET /blog/
 HTTP  8/9/2026 9:32:02 pm ::1 Returned 200 in 5 ms
 HTTP  8/9/2026 9:32:03 pm ::1 GET /blog/
 HTTP  8/9/2026 9:32:03 pm ::1 Returned 304 in 2 ms
 HTTP  8/9/2026 9:32:03 pm ::1 GET /css/style.css
 HTTP  8/9/2026 9:32:03 pm ::1 GET /js/supabase-config.js
 HTTP  8/9/2026 9:32:03 pm ::1 GET /css/journal.css
 HTTP  8/9/2026 9:32:03 pm ::1 GET /js/supabase-client.js
 HTTP  8/9/2026 9:32:03 pm ::1 GET /js/journal-ui.js
 HTTP  8/9/2026 9:32:03 pm ::1 GET /js/journal-api.js
 HTTP  8/9/2026 9:32:03 pm ::1 Returned 304 in 6 ms
 HTTP  8/9/2026 9:32:03 pm ::1 Returned 304 in 8 ms
 HTTP  8/9/2026 9:32:03 pm ::1 Returned 304 in 5 ms
 HTTP  8/9/2026 9:32:03 pm ::1 Returned 304 in 7 ms
 HTTP  8/9/2026 9:32:03 pm ::1 Returned 304 in 6 ms
 HTTP  8/9/2026 9:32:03 pm ::1 GET /js/main.js
 HTTP  8/9/2026 9:32:03 pm ::1 Returned 304 in 7 ms
 HTTP  8/9/2026 9:32:03 pm ::1 Returned 304 in 3 ms
 HTTP  8/9/2026 9:32:24 pm ::1 GET /blog/
 HTTP  8/9/2026 9:32:24 pm ::1 Returned 304 in 2 ms
 HTTP  8/9/2026 9:32:25 pm ::1 GET /css/style.css
 HTTP  8/9/2026 9:32:25 pm ::1 GET /css/journal.css
 HTTP  8/9/2026 9:32:25 pm ::1 GET /js/supabase-config.js
 HTTP  8/9/2026 9:32:25 pm ::1 GET /js/supabase-client.js
 HTTP  8/9/2026 9:32:25 pm ::1 GET /js/journal-ui.js
 HTTP  8/9/2026 9:32:25 pm ::1 GET /js/journal-api.js
 HTTP  8/9/2026 9:32:25 pm ::1 Returned 304 in 15 ms
 HTTP  8/9/2026 9:32:25 pm ::1 Returned 304 in 16 ms
 HTTP  8/9/2026 9:32:25 pm ::1 Returned 304 in 16 ms
 HTTP  8/9/2026 9:32:25 pm ::1 Returned 304 in 15 ms
 HTTP  8/9/2026 9:32:25 pm ::1 Returned 304 in 16 ms
 HTTP  8/9/2026 9:32:25 pm ::1 Returned 304 in 18 ms
 HTTP  8/9/2026 9:32:25 pm ::1 GET /js/main.js
 HTTP  8/9/2026 9:32:25 pm ::1 Returned 304 in 5 ms
 HTTP  8/9/2026 9:33:48 pm ::1 GET /blog/
 HTTP  8/9/2026 9:33:48 pm ::1 Returned 304 in 4 ms
 HTTP  8/9/2026 9:33:48 pm ::1 GET /css/style.css
 HTTP  8/9/2026 9:33:48 pm ::1 Returned 304 in 2 ms
 HTTP  8/9/2026 9:33:48 pm ::1 GET /js/journal-api.js
 HTTP  8/9/2026 9:33:48 pm ::1 GET /css/journal.css
 HTTP  8/9/2026 9:33:48 pm ::1 GET /js/supabase-config.js
 HTTP  8/9/2026 9:33:48 pm ::1 GET /js/supabase-client.js
 HTTP  8/9/2026 9:33:48 pm ::1 GET /js/journal-ui.js
 HTTP  8/9/2026 9:33:48 pm ::1 GET /js/main.js
 HTTP  8/9/2026 9:33:48 pm ::1 Returned 304 in 6 ms
 HTTP  8/9/2026 9:33:48 pm ::1 Returned 304 in 6 ms
 HTTP  8/9/2026 9:33:48 pm ::1 Returned 304 in 6 ms
 HTTP  8/9/2026 9:33:48 pm ::1 Returned 304 in 7 ms
 HTTP  8/9/2026 9:33:48 pm ::1 Returned 304 in 6 ms
 HTTP  8/9/2026 9:33:48 pm ::1 Returned 304 in 15 ms
